"UID","parkName","panoramaID","panoramaDate","year","direction"
"-c5qLcbCy_8NntCWN0-EPA","Bobolink-Park","KOEvf0_4aTsvEBr9s4mBcw","May 2017","2017",167
"-c7cjcJnNBIhbwKAVa2dXg","Nelson-Park","yNDmgmc-TPo4vVekVslEmA","May 2017","2017",226
"-cKzgJ4t6txMhYljVCDPqA","Memorial-South-Park","ZSQ316wP9iGeEmHMLrgBXg","May 2017","2017",91
"-cfeIBIFparpQqRMDw1-PA","Nelson-Park","bBn1gh2Hkp-WSXmHSWahSg","May 2017","2017",56
"-d0v1xVRp31a7uBd1ZJtyQ","Bobolink-Park","0_INCn02uu-vOr2TC2ec3w","May 2017","2017",359
"-d6rVft5vlGlyPnjQZ0nSQ","Morton-Park","oRqWa0-9fGXUdDhnpqcjpw","Apr 2017","2017",45
"-detYNx2-dky90TAurwJkA","Granville-Park","1nG6B23M4_-Nb0MqefoGzg","May 2017","2017",91
"-djpx_4puQvLwL-U4qkXJQ","Memorial-South-Park","kWZbc8BPECGZedi1fsCX8g","May 2017","2017",271
"-eSiDXLjRjHQo-CrI0yRgA","Grimmett-Park","a_bTXFLmOcfk1__nVGm5eg","May 2017","2017",271
"-eSiDXLjRjHQo-CrI0yRgA","Mount-Pleasant-Park","a_bTXFLmOcfk1__nVGm5eg","May 2017","2017",271
"-f7_oQSNxg41FWItUjCaSg","Quilchena-Park","Dkbvtk-R8nLEVHwliwIleg","May 2017","2017",165
"-fYqDqax1DTsKfonor1YNQ","Earles-Park","MSAqmSiQpMMnCL4VOCbx6g","May 2017","2017",0
"-g1FCmvZY1q5kKfr3HLyFA","Mount-Pleasant-Park","CSuEag6ow5Dre6QIF6F_dQ","Jun 2017","2017",180
"-gkBJbV5oYQePTZTn4FcAQ","Nelson-Park","AEFrDxRBgVGSDIF6yJq5QA","Apr 2017","2017",225
"-hQ6p3zuBYYDkaaCAS0J1A","Earles-Park","3LMqoKh5hZj23UZ606DKGg","May 2017","2017",30
"-i5KHb_dJ-BqVMHqTsTKvw","Bobolink-Park","L3D7AeW89wMull0WyMX2Xw","May 2017","2017",271
"-iI0ROi36NHDubkiPgMcUw","Morton-Park","ZZSbs2emBYQZV85fzf7WmQ","Jun 2017","2017",296
"-ifvlCowfJ11hVWjwNE5Vw","Memorial-South-Park","-NO9fjkWZhAn1ZhNi-fiEg","May 2017","2017",6
"-j00UyGbjZhFYuS5iWTJ6w","Hillcrest-Park","HsvAiS-JWYvjwm5tl6yqQw","May 2017","2017",157
"-j7MRRpFaRooNFUldbYlVw","Mount-Pleasant-Park","cciGJEwejz5mT3hI0lDc_A","Jun 2017","2017",171
"-j7MRRpFaRooNFUldbYlVw","Mount-Pleasant-Park","rdSqwQ3bGjDoW-pD3tcmow","May 2017","2017",171
"-jSNuTc9mKkDqz903zVrsg","Kaslo-Park","xi8Az1Vsruo4mkQTkqPF-w","Jun 2017","2017",182
"-jd-2pY4-OlTxJjscRKbUg","Grimmett-Park","ujMP7H6YZvjgRD0tunOlvA","Jun 2017","2017",91
"-jncipKC9g2sGhEzU-8_Xw","Morton-Park","kxgNDsA3Dyo6RtpXgGMbAQ","Jun 2017","2017",135
